,entity_lang,entity_txt,entity_ids,sitelinks
0,ar,-234 هـ,['Q25361'],[84]
1,ar,-244 هـ,['Q35589'],[78]
2,ar,-255 هـ,['Q35605'],[76]
3,ar,-275 هـ,['Q46137'],[78]
4,ar,-٢٣٤ هـ,['Q25361'],[84]
5,ar,-٢٤٤ هـ,['Q35589'],[78]
6,ar,-٢٥٥ هـ,['Q35605'],[76]
7,ar,-٢٧٥ هـ,['Q46137'],[78]
8,ar,.boiss,['Q34430'],[28]
9,ar,.mp3,['Q42591'],[76]
10,ar,.mp٣,['Q42591'],[76]
11,ar,1 أيلول,['Q2859'],[212]
12,ar,1 تشرين الثاني,['Q2997'],[214]
13,ar,1 دلو,['Q47792'],[7]
14,ar,1 سبتمبر,['Q2859'],[212]
15,ar,1 قوس,['Q47794'],[7]
16,ar,1 نوفمبر,['Q2997'],[214]
17,ar,1 يوليو,['Q2700'],[212]
18,ar,10 أيلول,['Q2853'],[206]
19,ar,10 جانفي,['Q2243'],[221]
20,ar,10 سبتمبر,['Q2853'],[206]
21,ar,10 كانون الثاني,['Q2243'],[221]
22,ar,10 كانون ثاني,['Q2243'],[221]
23,ar,10 مارس,['Q2397'],[214]
24,ar,10 هيجيا,['Q2640'],[74]
25,ar,10 يناير,['Q2243'],[221]
26,ar,1007,['Q19233'],[133]
27,ar,1014,['Q19243'],[135]
28,ar,1016,['Q19247'],[134]
29,ar,102 ق م,['Q44351'],[84]
30,ar,103,['Q29990'],[126]
31,ar,103 م,['Q29990'],[126]
32,ar,1039,['Q19341'],[134]
33,ar,1055,['Q19371'],[134]
34,ar,1057,['Q19377'],[134]
35,ar,1059,['Q19383'],[131]
36,ar,1061,['Q19387'],[133]
37,ar,1068,['Q19421'],[133]
38,ar,109 (ق م.),['Q44831'],[80]
39,ar,109 (ق. م),['Q44831'],[80]
40,ar,109 (ق. م.),['Q44831'],[80]
41,ar,109 (ق.م),['Q44831'],[80]
42,ar,109 (ق.م.),['Q44831'],[80]
43,ar,109 (قبل الميلاد),['Q44831'],[80]
44,ar,109 ق م,['Q44831'],[80]
45,ar,109 ق م.,['Q44831'],[80]
46,ar,109 ق. م,['Q44831'],[80]
47,ar,109 ق. م.,['Q44831'],[80]
48,ar,109 ق.م,['Q44831'],[80]
49,ar,109 ق.م.,['Q44831'],[80]
50,ar,109 قبل الميلاد,['Q44831'],[80]
51,ar,1095,['Q19480'],[138]
52,ar,11 أكتوبر,['Q2927'],[209]
53,ar,11 اكتوبر,['Q2927'],[209]
54,ar,11 تشرين الأول,['Q2927'],[209]
55,ar,111 (ق م.),['Q47003'],[80]
56,ar,111 (ق. م),['Q47003'],[80]
57,ar,111 (ق. م.),['Q47003'],[80]
58,ar,111 (ق.م),['Q47003'],[80]
59,ar,111 (ق.م.),['Q47003'],[80]
60,ar,111 (قبل الميلاد),['Q47003'],[80]
61,ar,111 ق م,['Q47003'],[80]
62,ar,111 ق م.,['Q47003'],[80]
63,ar,111 ق. م,['Q47003'],[80]
64,ar,111 ق. م.,['Q47003'],[80]
65,ar,111 ق.م,['Q47003'],[80]
66,ar,111 ق.م.,['Q47003'],[80]
67,ar,111 قبل الميلاد,['Q47003'],[80]
68,ar,1116,['Q19536'],[130]
69,ar,1117,['Q19538'],[132]
70,ar,112 ق م,['Q45663'],[81]
71,ar,1134,['Q19590'],[132]
72,ar,1148,['Q19633'],[136]
73,ar,1160,['Q19662'],[133]
74,ar,1176,['Q19693'],[133]
75,ar,1184,['Q19728'],[132]
76,ar,119,['Q30000'],[126]
77,ar,119 م,['Q30000'],[126]
78,ar,12 رجلا غاضبا,['Q2345'],[70]
79,ar,12 شباط,['Q2336'],[223]
80,ar,12 فبراير,['Q2336'],[223]
81,ar,12 فيفري,['Q2336'],[223]
82,ar,1210,['Q5250'],[135]
83,ar,1212,['Q5255'],[132]
84,ar,1218,['Q5381'],[136]
85,ar,122 ق م,['Q44259'],[80]
86,ar,1231,['Q5417'],[135]
87,ar,1247,['Q5482'],[132]
88,ar,1254,['Q5500'],[141]
89,ar,1256,['Q5502'],[133]
90,ar,1258,['Q5506'],[136]
91,ar,1259,['Q5507'],[135]
92,ar,1274,['Q5527'],[137]
93,ar,1275,['Q5529'],[137]
94,ar,1278,['Q5533'],[136]
95,ar,1290,['Q5552'],[133]
96,ar,1298,['Q5563'],[131]
97,ar,13 أبريل,['Q2498'],[211]
98,ar,13 نوفمبر,['Q2984'],[213]
99,ar,13 يناير,['Q2255'],[224]
100,ar,1305,['Q5624'],[140]
101,ar,1325,['Q5774'],[136]
102,ar,1342,['Q6069'],[135]
103,ar,1355,['Q6123'],[135]
104,ar,1356,['Q6130'],[135]
105,ar,1357,['Q6135'],[135]
106,ar,1358,['Q6140'],[133]
107,ar,1359,['Q6143'],[134]
108,ar,1359 م,['Q6143'],[134]
109,ar,1376,['Q6282'],[134]
110,ar,139 ق م,['Q44250'],[79]
111,ar,1391,['Q6378'],[137]
112,ar,1392,['Q6382'],[138]
113,ar,1394,['Q6398'],[138]
114,ar,1396,['Q6405'],[138]
115,ar,1408,['Q6138'],[140]
116,ar,1415,['Q6183'],[144]
117,ar,142 ق م,['Q44779'],[78]
118,ar,1423,['Q6267'],[141]
119,ar,1425,['Q6283'],[138]
120,ar,1434,['Q6360'],[140]
121,ar,144 (ق م.),['Q45503'],[77]
122,ar,144 (ق. م),['Q45503'],[77]
123,ar,144 (ق. م.),['Q45503'],[77]
124,ar,144 (ق.م),['Q45503'],[77]
125,ar,144 (ق.م.),['Q45503'],[77]
126,ar,144 (قبل الميلاد),['Q45503'],[77]
127,ar,144 ق م,['Q45503'],[77]
128,ar,144 ق م.,['Q45503'],[77]
129,ar,144 ق. م,['Q45503'],[77]
130,ar,144 ق. م.,['Q45503'],[77]
131,ar,144 ق.م,['Q45503'],[77]
132,ar,144 ق.م.,['Q45503'],[77]
133,ar,144 قبل الميلاد,['Q45503'],[77]
134,ar,1448,['Q6439'],[139]
135,ar,1451,['Q6455'],[149]
136,ar,1452,['Q6460'],[150]
137,ar,147 ق م,['Q45519'],[78]
138,ar,1470,['Q6569'],[141]
139,ar,1473,['Q6594'],[147]
140,ar,148 ق م,['Q44837'],[79]
141,ar,15 آب,['Q2774'],[207]
142,ar,15 أغسطس,['Q2774'],[207]
143,ar,15 أوت,['Q2774'],[207]
