,entity_lang,entity_txt,entity_ids,sitelinks
0,en,!donnerwetter!,['Q11508'],[1]
1,en,#65,['Q28270'],[32]
2,en,'73,['Q2477'],[205]
3,en,(+)-ent-cholesterol,['Q43656'],[101]
4,en,(-)-cholesterol,['Q43656'],[101]
5,en,(10) hygiea,['Q2640'],[74]
6,en,(100) hekate,['Q11521'],[47]
7,en,(10018) 1979 mg4,['Q4475'],[14]
8,en,"(1s,2r,10s,11s,14r,15r)-2,15-dimethyl-14-[(2r)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol",['Q43656'],[101]
9,en,(20bfh)-cholest-5-en-3b-ol,['Q43656'],[101]
10,en,(3b)-cholest-5-en-3-ol,['Q43656'],[101]
11,en,(3beta)-cholest-5-en-3-ol,['Q43656'],[101]
12,en,"(3β,14β,17α)-cholest-5-en-3-ol",['Q43656'],[101]
13,en,(433) eros,['Q16711'],[70]
14,en,(methylidyneammoniumyl)oxidanide,['Q45143'],[33]
15,en,"(mg,fe)2sio4",['Q22693'],[58]
16,en,...,['Q32518'],[69]
17,en,.38 magnum,['Q24634'],[22]
18,en,.38 police special,['Q24634'],[22]
19,en,.38 s&w special,['Q24634'],[22]
20,en,.38 spc,['Q24634'],[22]
21,en,.38 special,['Q24634'],[22]
22,en,.38 spl,"['Q24634', 'Q24634']","[22, 22]"
23,en,.ai,['Q40689'],[93]
24,en,.ec,['Q41113'],[91]
25,en,.gif,['Q2192'],[67]
26,en,.mp3,['Q42591'],[76]
27,en,.rss,['Q45432'],[76]
28,en,.sg,['Q41851'],[93]
29,en,.zm,['Q41842'],[92]
30,en,/etc/fstab,['Q14717'],[16]
31,en,0-polytope,['Q26401'],[50]
32,en,0-simplex,['Q26401'],[50]
33,en,0:00,['Q36402'],[76]
34,en,0:00 am,['Q36402'],[76]
35,en,0x5f3759df,['Q32980'],[11]
36,en,1,"['Q21534', 'Q22199']","[41, 36]"
37,en,1 july,['Q2700'],[212]
38,en,1 november,['Q2997'],[214]
39,en,1 september,['Q2859'],[212]
40,en,1*18,['Q38712'],[110]
41,en,1. fc nürnberg,['Q15786'],[59]
42,en,10 hygiea,['Q2640'],[74]
43,en,10 january,['Q2243'],[221]
44,en,10 march,['Q2397'],[214]
45,en,10 september,['Q2853'],[206]
46,en,10's,['Q36585'],[109]
47,en,100 hekate,['Q11521'],[47]
48,en,10018 lykawka,['Q4475'],[14]
49,en,1006 lagrangea,['Q11534'],[36]
50,en,1019 strackea,['Q11557'],[33]
51,en,10195 nebraska,['Q11556'],[20]
52,en,102 bc,['Q44351'],[84]
53,en,102 bce,['Q44351'],[84]
54,en,1055,['Q19371'],[134]
55,en,109 bc,['Q44831'],[80]
56,en,109 bce,['Q44831'],[80]
57,en,10s,['Q36585'],[109]
58,en,10th century bc,['Q25425'],[82]
59,en,10th of january,['Q2243'],[221]
60,en,10th of march,['Q2397'],[214]
61,en,10th of september,['Q2853'],[206]
62,en,10th-century bc,['Q25425'],[82]
63,en,11 cassiopeiae,['Q13594'],[28]
64,en,11 october,['Q2927'],[209]
65,en,111 aircraft,['Q6504'],[30]
66,en,111 bc,['Q47003'],[80]
67,en,111 bce,['Q47003'],[80]
68,en,112 bc,['Q45663'],[81]
69,en,112 bce,['Q45663'],[81]
70,en,119,['Q30000'],[126]
71,en,11th month,['Q125'],[279]
72,en,11th of october,['Q2927'],[209]
73,en,11th season of family guy,['Q24522'],[9]
74,en,12 angry men,['Q2345'],[70]
75,en,12 february,['Q2336'],[223]
76,en,122 bc,['Q44259'],[80]
77,en,122 bce,['Q44259'],[80]
78,en,12th of february,['Q2336'],[223]
79,en,13 april,['Q2498'],[211]
80,en,13 aurigae,['Q12970'],[62]
81,en,13 january,['Q2255'],[224]
82,en,13 november,['Q2984'],[213]
83,en,139 bc,['Q44250'],[79]
84,en,139 bce,['Q44250'],[79]
85,en,13th of april,['Q2498'],[211]
86,en,13th of january,['Q2255'],[224]
87,en,13th of november,['Q2984'],[213]
88,en,142 bc,['Q44779'],[78]
89,en,142 bce,['Q44779'],[78]
90,en,144 bc,['Q45503'],[77]
91,en,144 bce,['Q45503'],[77]
92,en,147 bc,['Q45519'],[78]
93,en,147 bce,['Q45519'],[78]
94,en,148 bc,['Q44837'],[79]
95,en,148 bce,['Q44837'],[79]
96,en,15 august,['Q2774'],[207]
97,en,15 bc,['Q4101'],[94]
98,en,15 bce,['Q4101'],[94]
99,en,15 may,['Q2562'],[209]
100,en,154 bc,['Q46911'],[80]
101,en,154 bce,['Q46911'],[80]
102,en,154 before christ,['Q46911'],[80]
103,en,155 bc,['Q46341'],[80]
104,en,155 bce,['Q46341'],[80]
105,en,1550,['Q6557'],[148]
106,en,15bc,['Q4101'],[94]
107,en,15th century,['Q7018'],[141]
108,en,15th of august,['Q2774'],[207]
109,en,15th of may,['Q2562'],[209]
110,en,15th-century,['Q7018'],[141]
111,en,16 bc,['Q41232'],[93]
112,en,16 bce,['Q41232'],[93]
113,en,16 boötis,['Q12985'],[72]
114,en,16 may,['Q2574'],[206]
115,en,16 november,['Q3029'],[211]
116,en,160,['Q24810'],[123]
117,en,160 ad,['Q24810'],[123]
118,en,160 ce,['Q24810'],[123]
119,en,165 bc,['Q46563'],[78]
120,en,165 bce,['Q46563'],[78]
121,en,16th of may,['Q2574'],[206]
122,en,16th of november,['Q3029'],[211]
123,en,17 january,['Q2264'],[220]
124,en,171 bc,['Q45454'],[81]
125,en,171 bce,['Q45454'],[81]
126,en,17cl,['Q688'],[165]
127,en,17th of january,['Q2264'],[220]
128,en,18,['Q38712'],[110]
129,en,18*1,['Q38712'],[110]
130,en,180,['Q55537'],[2]
131,en,180!,['Q55537'],[2]
132,en,181 bc,['Q46355'],[80]
133,en,181 bce,['Q46355'],[80]
134,en,"1812, war of",['Q26013'],[75]
135,en,183 bc,['Q44550'],[84]
136,en,183 bce,['Q44550'],[84]
137,en,1876,['Q7766'],[175]
138,en,1886-87 british home championship,['Q29887'],[10]
139,en,1886–87 british home championship,['Q29887'],[10]
140,en,1887-88 british home championship,['Q29819'],[10]
141,en,1887-88 scottish cup,['Q46117'],[8]
142,en,1887–88 british home championship,['Q29819'],[10]
143,en,1887–88 scottish cup,['Q46117'],[8]
144,en,18th century,['Q7015'],[160]
145,en,18th-century,['Q7015'],[160]
146,en,19 march,['Q2424'],[215]
147,en,1900s,['Q36574'],[102]
