,entity_lang,entity_txt,entity_ids,sitelinks
0,es,( ),['Q8364'],[22]
1,es,( ) (álbum),['Q8364'],[22]
2,es,(10) hygiea,['Q2640'],[74]
3,es,(10018) 1979 mg4,['Q4475'],[14]
4,es,(10018) lykawka,['Q4475'],[14]
5,es,(2127) tanya,['Q48411'],[32]
6,es,(3200) faetón,['Q18944'],[44]
7,es,(38083) rhadamanthus,['Q15595'],[23]
8,es,...,['Q32518'],[69]
9,es,.38 special,['Q24634'],[22]
10,es,.ec,['Q41113'],[91]
11,es,.gt,['Q41781'],[86]
12,es,.mp3,['Q42591'],[76]
13,es,.pl,['Q37907'],[91]
14,es,007,['Q844'],[100]
15,es,1 bundesliga 2006 07,['Q27896'],[29]
16,es,1 bundesliga 2006/07,['Q27896'],[29]
17,es,1 de septiembre,['Q2859'],[212]
18,es,1 de setiembre,['Q2859'],[212]
19,es,1. bundesliga 2006/07,['Q27896'],[29]
20,es,10 de septiembre,['Q2853'],[206]
21,es,10 de setiembre,['Q2853'],[206]
22,es,102 a c,['Q44351'],[84]
23,es,102 a. c.,['Q44351'],[84]
24,es,102 a.c.,['Q44351'],[84]
25,es,102 adc,['Q44351'],[84]
26,es,103,['Q29990'],[126]
27,es,109 a c,['Q44831'],[80]
28,es,109 a. c.,['Q44831'],[80]
29,es,109 a.c.,['Q44831'],[80]
30,es,109 adc,['Q44831'],[80]
31,es,111 a c,['Q47003'],[80]
32,es,111 a. c.,['Q47003'],[80]
33,es,111 a.c.,['Q47003'],[80]
34,es,111 adc,['Q47003'],[80]
35,es,112 a c,['Q45663'],[81]
36,es,112 a. c.,['Q45663'],[81]
37,es,112 a.c.,['Q45663'],[81]
38,es,112 adc,['Q45663'],[81]
39,es,119,['Q30000'],[126]
40,es,12 angry men,['Q2345'],[70]
41,es,122 a c,['Q44259'],[80]
42,es,122 a. c.,['Q44259'],[80]
43,es,122 a.c.,['Q44259'],[80]
44,es,122 adc,['Q44259'],[80]
45,es,139 a c,['Q44250'],[79]
46,es,139 a. c.,['Q44250'],[79]
47,es,139 a.c.,['Q44250'],[79]
48,es,139 adc,['Q44250'],[79]
49,es,142 a c,['Q44779'],[78]
50,es,142 a. c.,['Q44779'],[78]
51,es,142 adc,['Q44779'],[78]
52,es,144 a c,['Q45503'],[77]
53,es,144 a. c.,['Q45503'],[77]
54,es,144 a.c.,['Q45503'],[77]
55,es,144 adc,['Q45503'],[77]
56,es,147 a c,['Q45519'],[78]
57,es,147 a. c.,['Q45519'],[78]
58,es,147 a.c.,['Q45519'],[78]
59,es,147 adc,['Q45519'],[78]
60,es,148 a c,['Q44837'],[79]
61,es,148 a. c.,['Q44837'],[79]
62,es,148 a.c.,['Q44837'],[79]
63,es,148 adc,['Q44837'],[79]
64,es,15 a c,['Q4101'],[94]
65,es,15 a. c.,['Q4101'],[94]
66,es,15 a.c.,['Q4101'],[94]
67,es,15 adc,['Q4101'],[94]
68,es,1500,['Q6126'],[153]
69,es,154 a c,['Q46911'],[80]
70,es,154 a. c.,['Q46911'],[80]
71,es,154 adc,['Q46911'],[80]
72,es,155 a c,['Q46341'],[80]
73,es,155 a. c.,['Q46341'],[80]
74,es,155 a.c.,['Q46341'],[80]
75,es,155 adc,['Q46341'],[80]
76,es,1590s,['Q48595'],[88]
77,es,16 a c,['Q41232'],[93]
78,es,16 a. c.,['Q41232'],[93]
79,es,16 a.c.,['Q41232'],[93]
80,es,16 adc,['Q41232'],[93]
81,es,160,['Q24810'],[123]
82,es,163,['Q30384'],[121]
83,es,165 a c,['Q46563'],[78]
84,es,165 a. c.,['Q46563'],[78]
85,es,165 a.c.,['Q46563'],[78]
86,es,165 adc,['Q46563'],[78]
87,es,169,['Q30280'],[122]
88,es,171 a c,['Q45454'],[81]
89,es,171 a. c.,['Q45454'],[81]
90,es,171 a.c.,['Q45454'],[81]
91,es,171 adc,['Q45454'],[81]
92,es,18,['Q38712'],[110]
93,es,181 a c,['Q46355'],[80]
94,es,181 a. c.,['Q46355'],[80]
95,es,181 a.c.,['Q46355'],[80]
96,es,181 adc,['Q46355'],[80]
97,es,183 a c,['Q44550'],[84]
98,es,183 a. c.,['Q44550'],[84]
99,es,183 adc,['Q44550'],[84]
100,es,1897,['Q7847'],[186]
101,es,1900s,['Q36574'],[102]
102,es,1906,['Q2049'],[208]
103,es,1907,['Q2048'],[203]
104,es,1909,['Q2057'],[202]
105,es,1910s,['Q36585'],[109]
106,es,1912,['Q2077'],[204]
107,es,1922,['Q2165'],[206]
108,es,1926,['Q5259'],[201]
109,es,1929,['Q18792'],[201]
110,es,1936,['Q18649'],[203]
111,es,194,['Q30837'],[121]
112,es,194 a c,['Q46323'],[83]
113,es,194 a. c.,['Q46323'],[83]
114,es,194 a.c.,['Q46323'],[83]
115,es,194 adc,['Q46323'],[83]
116,es,1943,['Q18623'],[204]
117,es,195,['Q33212'],[122]
118,es,1956,['Q5221'],[205]
119,es,1965,['Q2650'],[212]
120,es,1968,['Q2644'],[211]
121,es,1970,['Q2474'],[203]
122,es,1971,['Q2475'],[211]
123,es,1973,['Q2477'],[205]
124,es,1983 tb,['Q18944'],[44]
125,es,1993,['Q2065'],[207]
126,es,1996,['Q2070'],[209]
127,es,1999,['Q2091'],[212]
128,es,2 de septiembre,['Q2857'],[210]
129,es,2 de setiembre,['Q2857'],[210]
130,es,2.ª guerra mundial,['Q362'],[265]
131,es,200 a c,['Q43306'],[82]
132,es,200 a. c.,['Q43306'],[82]
133,es,200 adc,['Q43306'],[82]
134,es,2002,['Q1987'],[214]
135,es,2005,['Q2019'],[239]
136,es,2009,['Q1996'],[250]
137,es,2025,['Q49616'],[101]
138,es,213,['Q47021'],[22]
139,es,213 banda,['Q47021'],[22]
140,es,214,['Q32938'],[120]
141,es,216 a c,['Q47347'],[80]
142,es,216 a. c.,['Q47347'],[80]
143,es,216 adc,['Q47347'],[80]
144,es,218 a c,['Q47177'],[81]
145,es,218 a. c.,['Q47177'],[81]
146,es,218 ac,['Q47177'],[81]
147,es,218 adc,['Q47177'],[81]
148,es,22 de septiembre,['Q2889'],[207]
149,es,22 de setiembre,['Q2889'],[207]
150,es,231 a c,['Q45437'],[78]
151,es,231 a. c.,['Q45437'],[78]
152,es,231 adc,['Q45437'],[78]
153,es,234 a c,['Q25361'],[84]
154,es,234 a. c.,['Q25361'],[84]
155,es,234 a.c.,['Q25361'],[84]
156,es,234 adc,['Q25361'],[84]
157,es,244 a c,['Q35589'],[78]
158,es,244 a. c.,['Q35589'],[78]
159,es,244 a.c.,['Q35589'],[78]
160,es,244 adc,['Q35589'],[78]
161,es,252 a c,['Q35547'],[77]
162,es,252 a. c.,['Q35547'],[77]
163,es,252 a.c.,['Q35547'],[77]
164,es,252 adc,['Q35547'],[77]
165,es,253 a c,['Q35522'],[76]
166,es,253 a. c.,['Q35522'],[76]
167,es,253 adc,['Q35522'],[76]
168,es,255,['Q32344'],[118]
169,es,255 a c,['Q35605'],[76]
170,es,255 a. c.,['Q35605'],[76]
171,es,255 a.c.,['Q35605'],[76]
172,es,255 adc,['Q35605'],[76]
173,es,26 a c,['Q41145'],[90]
